Time (h)	GUR	mu
1.64	-4.716124038	0.559518022
1.65	-4.69297383	0.557851412
1.66	-4.670008645	0.556190471
1.67	-4.647226624	0.554535208
1.68	-4.624625931	0.552885633
1.69	-4.602204748	0.551241754
1.7	-4.579961278	0.549603578
1.71	-4.557893743	0.54797111
1.72	-4.536000388	0.546344355
1.73	-4.514279475	0.544723318
1.74	-4.492729285	0.543108002
1.75	-4.47134812	0.541498409
1.76	-4.450134299	0.539894541
1.77	-4.429086162	0.538296398
1.78	-4.408202066	0.536703981
1.79	-4.387480386	0.535117288
1.8	-4.366919518	0.533536318
1.81	-4.346517872	0.531961069
1.82	-4.326273879	0.530391538
1.83	-4.306185985	0.528827721
1.84	-4.286252656	0.527269614
1.85	-4.266472373	0.525717213
1.86	-4.246843636	0.524170511
1.87	-4.227364959	0.522629503
1.88	-4.208034875	0.521094181
1.89	-4.188851933	0.51956454
1.9	-4.169814698	0.51804057
1.91	-4.15092175	0.516522264
1.92	-4.132171686	0.515009614
1.93	-4.113563119	0.513502609
1.94	-4.095094677	0.512001241
1.95	-4.076765003	0.510505498
1.96	-4.058572755	0.509015371
1.97	-4.040516607	0.507530849
1.98	-4.022595247	0.50605192
1.99	-4.004807378	0.504578572
2	-3.987151718	0.503110794
2.01	-3.969626997	0.501648572
2.02	-3.952231961	0.500191894
2.03	-3.93496537	0.498740746
2.04	-3.917825998	0.497295116
2.05	-3.900812631	0.495854989
2.06	-3.88392407	0.494420351
2.07	-3.867159129	0.492991187
2.08	-3.850516635	0.491567484
2.09	-3.833995427	0.490149225
2.1	-3.817594359	0.488736396
2.11	-3.801312296	0.487328981
2.12	-3.785148116	0.485926964
2.13	-3.76910071	0.48453033
2.14	-3.753168979	0.483139061
2.15	-3.73735184	0.481753143
2.16	-3.721648218	0.480372557
2.17	-3.706057052	0.478997288
2.18	-3.690577292	0.477627318
2.19	-3.675207901	0.47626263
2.2	-3.659947851	0.474903206
2.21	-3.644796127	0.47354903
2.22	-3.629751724	0.472200083
2.23	-3.614813649	0.470856348
2.24	-3.599980919	0.469517807
2.25	-3.585252562	0.468184441
2.26	-3.570627617	0.466856233
2.27	-3.556105134	0.465533163
2.28	-3.541684171	0.464215214
2.29	-3.527363799	0.462902367
2.3	-3.513143097	0.461594604
2.31	-3.499021156	0.460291905
2.32	-3.484997076	0.458994251
2.33	-3.471069964	0.457701624
2.34	-3.457238942	0.456414005
2.35	-3.443503138	0.455131375
2.36	-3.429861689	0.453853714
2.37	-3.416313743	0.452581002
2.38	-3.402858457	0.451313222
2.39	-3.389494996	0.450050353
2.4	-3.376222534	0.448792377
2.41	-3.363040256	0.447539273
2.42	-3.349947354	0.446291021
2.43	-3.336943028	0.445047604
2.44	-3.324026488	0.443809
2.45	-3.311196951	0.442575191
2.46	-3.298453644	0.441346157
2.47	-3.285795801	0.440121877
2.48	-3.273222665	0.438902333
2.49	-3.260733487	0.437687505
2.5	-3.248327525	0.436477372
2.51	-3.236004045	0.435271916
2.52	-3.223762321	0.434071116
2.53	-3.211601636	0.432874953
2.54	-3.199521279	0.431683407
2.55	-3.187520548	0.430496459
2.56	-3.175598745	0.429314088
2.57	-3.163755183	0.428136275
2.58	-3.151989181	0.426963
